Symbol,Accuracy
20MICRONS,54.736842105263165
21STCENMGM,52.30263157894737
360ONE,43.24324324324324
3IINFOLTD,59.65665236051502
3MINDIA,54.317548746518106
3PLAND,65.48223350253807
5PAISA,54.80769230769232
63MOONS,53.24675324675325
A2ZINFRA,58.43558282208589
AAATECH,58.53658536585365
AAKASH,64.11149825783971
AAREYDRUGS,56.25
AARON,53.333333333333336
AARTECH,54.54545454545454
AARTIDRUGS,50.4930966469428
AARTIIND,47.4025974025974
AARTIPHARM,47.27272727272727
AARTISURF,52.74725274725275
AARVEEDEN,53.57561547479485
AARVI,59.93690851735016
AAVAS,49.62686567164179
ABAN,52.94117647058824
ABB,51.66975881261595
ABBOTINDIA,66.88432835820896
ABCAPITAL,51.86335403726709
ABFRL,51.23809523809524
ABINFRA,78.0701754385965
ABMINTLLTD,70.52631578947368
ABREL,53.036723163841806
ABSLAMC,52.10084033613446
ACC,50.51067780872794
ACCELYA,54.317548746518106
ACCURACY,60.71428571428571
ACE,51.68408826945412
ACEINTEG,80.54711246200608
ACI,51.5625
ACL,60.94224924012158
ACLGATI,57.27590221187428
ADANIENSOL,44.44444444444444
ADANIENT,51.02040816326531
ADANIGREEN,58.657243816254415
ADANIPORTS,50.68493150684932
ADANIPOWER,52.78551532033426
ADFFOODS,58.04511278195489
ADL,51.17647058823529
ADORWELD,53.85329619312906
ADROITINFO,54.93975903614457
ADSL,54.63414634146342
ADVANIHOTR,59.34466019417476
ADVENZYMES,52.92553191489362
AEROFLEX,50.0
AETHER,42.5287356321839
AFFLE,54.18502202643172
AGARIND,55.072463768115945
AGI,51.39146567717996
AGRITECH,58.116232464929865
AGROPHOS,54.20289855072464
AGSTRA,54.80769230769232
AHL,51.66666666666667
AHLADA,60.67415730337079
AHLEAST,55.37313432835821
AHLUCONT,78.66287339971551
AIAENG,50.33333333333333
AIRAN,59.63302752293578
AIROLAM,65.61514195583597
AJANTPHARM,53.01764159702879
AJMERA,53.19396051103368
AJOONI,62.95081967213115
AKASH,60.86956521739131
AKG,62.92134831460674
AKI,43.47826086956522
AKSHAR,51.68539325842697
AKSHARCHEM,52.1865889212828
AKSHOPTFBR,56.4531104921077
AKZOINDIA,52.55338904363974
ALANKIT,59.20745920745921
ALBERTDAVD,51.57068062827225
ALEMBICLTD,54.1241890639481
ALICON,58.48837209302326
ALKALI,56.21693121693122
ALKEM,52.463054187192114
ALKYLAMINE,53.05105853051059
ALLCARGO,51.60183066361556
ALMONDZ,54.76804123711341
ALOKINDS,59.03954802259888
ALPA,56.47921760391198
ALPHAGEO,54.33734939759036
AMBER,53.31125827814569
AMBICAAGAR,80.36998972250771
AMBIKCO,56.29722921914357
AMBUJACEM,51.298701298701296
AMDIND,55.19713261648745
AMIORG,53.65853658536586
AMJLAND,55.56586270871985
AMNPLST,62.5
AMRUTANJAN,55.36723163841808
ANANDRATHI,53.15315315315316
ANANTRAJ,53.13953488372093
ANDHRAPAP,57.23359209597741
ANDHRSUGAR,54.63821892393321
ANGELONE,49.41176470588236
ANIKINDS,55.327342747111686
ANMOL,60.58394160583942
ANTGRAPHIC,74.860853432282
ANUP,45.96774193548387
ANURAS,54.10958904109589
APARINDS,54.01234567901234
APCL,47.953216374269005
APCOTEXIND,54.248366013071895
APEX,51.5527950310559
APLAPOLLO,50.0
APLLTD,51.056910569105696
APOLLO,53.135313531353134
APOLLOHOSP,47.26090993500464
APOLLOPIPE,59.06976744186046
APOLLOTYRE,49.90942028985507
APOLSINHOT,56.152125279642064
APTECHT,54.178403755868544
APTUS,49.2063492063492
ARCHIDPLY,59.76714100905562
ARCHIES,58.45004668534081
ARE&M,66.66666666666666
ARENTERP,62.30031948881789
ARIES,52.26130653266332
ARIHANTCAP,50.73529411764706
ARIHANTSUP,53.06122448979592
ARMANFIN,49.47643979057592
AROGRANITE,57.262905162064826
ARROWGREEN,54.02298850574713
ARSHIYA,55.618776671408256
ARSSINFRA,59.104046242774565
ARTEMISMED,50.0
ARTNIRMAN,80.8695652173913
ARVEE,67.11409395973155
ARVIND,52.96846011131725
ARVINDFASN,49.797570850202426
ARVSMART,55.819477434679335
ASAHIINDIA,57.46061167747914
ASAHISONG,53.80875202593193
ASAL,59.74025974025974
ASALCBR,50.99009900990099
ASHAPURMIN,59.6045197740113
ASHIANA,49.20127795527157
ASHIMASYN,62.11699164345404
ASHOKA,53.70650529500757
ASHOKAMET,54.285714285714285
ASHOKLEY,52.50463821892394
ASIANENE,59.45945945945946
ASIANHOTNR,55.43175487465181
ASIANPAINT,51.81058495821726
ASIANTILES,52.8186274509804
ASKAUTOLTD,73.33333333333333
ASMS,56.47321428571429
ASPINWALL,52.617801047120416
ASTEC,53.04964539007092
ASTERDM,53.69127516778524
ASTRAL,47.19235364396654
ASTRAMICRO,51.778242677824274
ASTRAZEN,53.432282003710576
ASTRON,54.90196078431373
ATALREAL,55.21472392638037
ATAM,58.53658536585365
ATFL,53.38904363974002
ATGL,52.27272727272727
ATL,32.142857142857146
ATLANTAA,51.800232288037165
ATLASCYCLE,63.7883008356546
ATUL,48.74651810584958
ATULAUTO,55.11363636363637
